Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
900,2,2,Furnished,Dilshad Garden,2,6900000,Ready_to_move,Resale,Builder_Floor,7666
400,1,1,Unfurnished,Dilshad Garden,1,3600000,Ready_to_move,Resale,Builder_Floor,7666
900,3,2,Semi-Furnished,Dilshad Garden,2,13500000,Ready_to_move,Resale,Apartment,7666
405,1,1,Unfurnished,Dilshad Garden,1,2500000,Ready_to_move,Resale,Apartment,9200
1076.39,3,2,Unfurnished,Dilshad Garden,10,9300000,Ready_to_move,Resale,Builder_Floor,8640
460,2,1,Unfurnished,Dilshad Garden,2,3300000,Ready_to_move,Resale,Builder_Floor,8640
370,1,1,Unfurnished,Dilshad Garden,2,2400000,Ready_to_move,Resale,Builder_Floor,6486
1800,3,3,Semi-Furnished,Dilshad Garden,1,15000000,Ready_to_move,New_Property,Builder_Floor,8333
900,3,2,Semi-Furnished,Dilshad Garden,1,4800000,Ready_to_move,Resale,Apartment,12000
800,2,2,Semi-Furnished,Dilshad Garden,1,7500000,Ready_to_move,Resale,Apartment,9375
500,1,1,Semi-Furnished,Dilshad Garden,1,2600000,Ready_to_move,Resale,Builder_Floor,5200
800,2,2,Unfurnished,Dilshad Garden,1,6000000,Ready_to_move,Resale,Builder_Floor,7500
1000,2,2,Semi-Furnished,Dilshad Garden,1,6700000,Ready_to_move,Resale,Apartment,6700
800,3,2,Semi-Furnished,Dilshad Garden,1,9030000,Ready_to_move,Resale,Apartment,9200
1080,3,1,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,8333
500,2,1,Furnished,Dilshad Garden,1,5800000,Ready_to_move,Resale,Apartment,12000
430.556,1,1,Unfurnished,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9375
1450,2,2,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,5200
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,24718
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,24718
850,2,1,Semi-Furnished,Dwarka,2,1900000,Ready_to_move,New_Property,Apartment,2235
1350,3,2,Unfurnished,Dwarka,1,5130000,Ready_to_move,New_Property,Apartment,3800
1387,4,4,Unfurnished,Dwarka,1,5890000,Ready_to_move,New_Property,Apartment,4247
1050,3,2,Unfurnished,Dwarka,1,3700000,Ready_to_move,New_Property,Apartment,3524
1500,3,2,Unfurnished,Dwarka,1,17400000,Ready_to_move,Resale,Apartment,3524
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,3524
700,2,1,Semi-Furnished,Dwarka,1,2400000,Almost_ready,New_Property,Apartment,3524
1700,3,2,Semi-Furnished,Dwarka,1,17200000,Ready_to_move,Resale,Apartment,3524
1550,3,2,Furnished,Dwarka,2,14200000,Ready_to_move,Resale,Apartment,3524
1400,3,3,Semi-Furnished,Dwarka,1,13500000,Ready_to_move,Resale,Apartment,3524
1900,4,4,Semi-Furnished,Dwarka,1,30000000,Ready_to_move,Resale,Apartment,3524
2160,4,3,Unfurnished,Dwarka,1,21000000,Ready_to_move,Resale,Apartment,3524
1700,4,3,Unfurnished,Dwarka,1,20500000,Ready_to_move,Resale,Apartment,3524
1850,3,4,Semi-Furnished,Dwarka,1,24000000,Ready_to_move,Resale,Apartment,3524
1800,4,2,Semi-Furnished,Dwarka,1,16500000,Ready_to_move,Resale,Apartment,3524
1620,3,2,Semi-Furnished,Dwarka,1,14900000,Ready_to_move,Resale,Apartment,3524
1800,4,3,Furnished,Dwarka,1,19200000,Ready_to_move,Resale,Apartment,3524
1540,3,3,Semi-Furnished,Dwarka,1,14500000,Ready_to_move,Resale,Apartment,3524
1600,3,3,Semi-Furnished,Dwarka,1,15600000,Ready_to_move,Resale,Apartment,3524
1400,3,2,Unfurnished,Dwarka,1,11400000,Ready_to_move,Resale,Apartment,3524
2300,4,4,Furnished,Dwarka,1,31500000,Ready_to_move,Resale,Apartment,3524
1560,3,2,Furnished,Dwarka,2,15800000,Ready_to_move,Resale,Apartment,3524
1500,3,3,Semi-Furnished,Dwarka,2,16000000,Ready_to_move,Resale,Apartment,3524
1540,3,3,Semi-Furnished,Dwarka,1,14500000,Ready_to_move,Resale,Apartment,3524
1050,2,2,Unfurnished,Dwarka,1,10500000,Ready_to_move,Resale,Apartment,3524
1800,3,2,Semi-Furnished,Dwarka,1,14800000,Ready_to_move,Resale,Apartment,3524
400,1,1,Semi-Furnished,Dwarka,1,1850000,Ready_to_move,New_Property,Builder_Floor,3524
1150,3,2,Semi-Furnished,Dwarka,1,6800000,Ready_to_move,New_Property,Builder_Floor,3524
1525,3,3,Semi-Furnished,Dwarka,1,14200000,Ready_to_move,Resale,Apartment,3524
500,2,2,Semi-Furnished,Dwarka,1,3200000,Ready_to_move,New_Property,Builder_Floor,6111
680,3,2,Semi-Furnished,Dwarka,1,3400000,Ready_to_move,New_Property,Builder_Floor,6111
450,2,2,Unfurnished,Dwarka,1,2900000,Ready_to_move,Resale,Builder_Floor,5794
765,3,2,Semi-Furnished,Dwarka,1,3800000,Ready_to_move,Resale,Builder_Floor,5794
1700,3,2,Furnished,Dwarka,1,16500000,Ready_to_move,Resale,Apartment,10700
1000,2,2,Semi-Furnished,Dwarka,1,10700000,Ready_to_move,Resale,Apartment,10700
1500,3,2,Unfurnished,Dwarka,1,17400000,Ready_to_move,Resale,Apartment,22222
1500,3,2,Unfurnished,Dwarka,1,17400000,Ready_to_move,Resale,Apartment,22222
1001,3,2,Furnished,Dwarka,1,5800000,Ready_to_move,New_Property,Builder_Floor,5794
1350,3,2,Unfurnished,Dwarka,1,5130000,Ready_to_move,New_Property,Apartment,3800
1350,3,2,Unfurnished,Dwarka,1,5130000,Ready_to_move,New_Property,Apartment,3800
1500,3,2,Furnished,Dwarka,1,16200000,Ready_to_move,Resale,Apartment,10700
1750,3,2,Furnished,Dwarka,1,14900000,Ready_to_move,Resale,Apartment,10700
2700,4,3,Furnished,Dwarka,1,27500000,Ready_to_move,Resale,Apartment,10700
900,3,2,Semi-Furnished,Dwarka,1,2800000,Ready_to_move,New_Property,Builder_Floor,6111
1200,4,3,Semi-Furnished,Dwarka,1,6800000,Ready_to_move,New_Property,Builder_Floor,6111
850,2,1,Semi-Furnished,Dwarka,1,1900000,Ready_to_move,New_Property,Apartment,2235
850,2,1,Semi-Furnished,Dwarka,1,1900000,Ready_to_move,New_Property,Apartment,2235
1700,3,2,Semi-Furnished,Dwarka,1,17200000,Ready_to_move,Resale,Apartment,24718
1700,3,2,Semi-Furnished,Dwarka,1,17200000,Ready_to_move,Resale,Apartment,24718
1050,3,2,Unfurnished,Dwarka,1,3700000,Ready_to_move,New_Property,Apartment,3524
1050,3,2,Unfurnished,Dwarka,1,3700000,Ready_to_move,New_Property,Apartment,3524
1000,3,2,Unfurnished,Dwarka,1,4620000,Ready_to_move,New_Property,Apartment,4620
1000,3,2,Unfurnished,Dwarka,1,4620000,Ready_to_move,New_Property,Apartment,4620
1000,3,2,Unfurnished,Dwarka,1,4620000,Ready_to_move,New_Property,Apartment,4620
1387,4,4,Unfurnished,Dwarka ,1,5890000,Ready_to_move,New_Property,Apartment,4247
1387,4,4,Unfurnished,Dwarka ,1,5890000,Ready_to_move,New_Property,Apartment,4247
2700,4,3,Semi-Furnished,Greater Kailash,1,60000000,Ready_to_move,New_Property,Builder_Floor,22222
2700,4,3,Semi-Furnished,Greater Kailash,1,60000000,Ready_to_move,New_Property,Builder_Floor,22222
2400,4,4,Semi-Furnished,Greater Kailash,1,70000000,Ready_to_move,New_Property,Apartment,2235
2400,4,4,Semi-Furnished,Greater Kailash,1,70000000,Ready_to_move,New_Property,Apartment,2235
22050,4,4,Semi-Furnished,Greater Kailash,2,51000000,Almost_ready,New_Property,Builder_Floor,30556
1600,3,3,Semi-Furnished,Greater Kailash,1,30000000,Ready_to_move,New_Property,Builder_Floor,18750
22050,4,4,Semi-Furnished,Greater Kailash,2,51000000,Almost_ready,New_Property,Builder_Floor,30556
1600,3,3,Semi-Furnished,Greater Kailash,1,30000000,Ready_to_move,New_Property,Builder_Floor,18750
5025,5,6,Unfurnished,Greater Kailash,4,170000000,Almost_ready,New_Property,Builder_Floor,22222
5025,5,6,Unfurnished,Greater Kailash,4,170000000,Almost_ready,New_Property,Builder_Floor,22222
2700,4,4,Unfurnished,Greater Kailash,2,36500000,Ready_to_move,Resale,Builder_Floor,12500
2700,4,4,Unfurnished,Greater Kailash,2,36500000,Ready_to_move,Resale,Builder_Floor,12500
3500,5,5,Semi-Furnished,Greater Kailash,1,70000000,Ready_to_move,New_Property,Builder_Floor,20000
2200,4,4,Semi-Furnished,Greater Kailash,2,47500000,Ready_to_move,New_Property,Builder_Floor,20000
2200,4,4,Semi-Furnished,Greater Kailash,1,40000000,Ready_to_move,New_Property,Builder_Floor,20000
3500,4,4,Semi-Furnished,Greater Kailash,3,85000000,Ready_to_move,New_Property,Builder_Floor,20000
1440,3,3,Semi-Furnished,Greater Kailash,3,26000000,Ready_to_move,New_Property,Builder_Floor,20000
3150,4,4,Semi-Furnished,Greater Kailash,3,35000000,Ready_to_move,Resale,Builder_Floor,11111
900,2,2,Semi-Furnished,Greater Kailash,3,20000000,Ready_to_move,Resale,Builder_Floor,11111
3690,4,5,Semi-Furnished,Greater Kailash,3,79000000,Almost_ready,New_Property,Builder_Floor,21409
1200,3,2,Semi-Furnished,Greater Kailash,3,17000000,Ready_to_move,Resale,Builder_Floor,21409
4500,4,4,Semi-Furnished,Greater Kailash,2,47500000,Ready_to_move,Resale,Builder_Floor,95000
2799,4,4,Semi-Furnished,Greater Kailash,2,43000000,Ready_to_move,New_Property,Builder_Floor,15363
1350,3,3,Unfurnished,Greater Kailash,1,26000000,Ready_to_move,New_Property,Builder_Floor,19259
1200,3,3,Unfurnished,Greater Kailash,1,25000000,Ready_to_move,New_Property,Builder_Floor,20833
2177,4,5,Semi-Furnished,Greater Kailash,2,51000000,Ready_to_move,New_Property,Builder_Floor,20833
1500,3,3,Semi-Furnished,Greater Kailash,2,40000000,Ready_to_move,New_Property,Builder_Floor,20833
1600,3,3,Unfurnished,Greater Kailash,1,22500000,Ready_to_move,Resale,Builder_Floor,20833
4500,4,4,Semi-Furnished,Greater Kailash,1,70000000,Ready_to_move,New_Property,Builder_Floor,20833
2150,4,4,Unfurnished,Greater Kailash,2,45000000,Ready_to_move,New_Property,Builder_Floor,20930
2107,4,4,Semi-Furnished,Greater Kailash,2,51100000,Ready_to_move,New_Property,Apartment,20930
1150,3,3,Semi-Furnished,Greater Kailash,1,25500000,Ready_to_move,New_Property,Builder_Floor,20930
1240,3,3,Unfurnished,Greater Kailash,2,26500000,Ready_to_move,New_Property,Builder_Floor,20930
1000,2,2,Unfurnished,Greater Kailash,1,15000000,Ready_to_move,Resale,Builder_Floor,20930
4500,4,4,Semi-Furnished,Greater Kailash,2,55000000,Ready_to_move,Resale,Builder_Floor,20930
1150,3,3,Semi-Furnished,Greater Kailash,2,26000000,Ready_to_move,New_Property,Builder_Floor,20930
2000,4,4,Semi-Furnished,Greater Kailash,2,38000000,Ready_to_move,Resale,Builder_Floor,20930
4500,4,5,Semi-Furnished,Greater Kailash,2,72500000,Ready_to_move,Resale,Builder_Floor,20930
3000,4,5,Semi-Furnished,Greater Kailash,4,65000000,Ready_to_move,New_Property,Builder_Floor,20930
1800,3,3,Semi-Furnished,Hauz Khas,2,43500000,Ready_to_move,New_Property,Builder_Floor,24166
1800,4,4,Semi-Furnished,Hauz Khas,2,80000000,Ready_to_move,New_Property,Builder_Floor,30000
2066,4,4,Unfurnished,Hauz Khas,2,60000000,Almost_ready,New_Property,Builder_Floor,30000
4500,4,4,Semi-Furnished,Hauz Khas,2,70000000,Ready_to_move,New_Property,Builder_Floor,30000
1750,3,3,Unfurnished,Hauz Khas,2,35000000,Ready_to_move,Resale,Builder_Floor,170000
1500,3,4,Unfurnished,Hauz Khas,2,45000000,Ready_to_move,Resale,Builder_Floor,18055
1800,3,4,Semi-Furnished,Hauz Khas,2,47000000,Ready_to_move,New_Property,Builder_Floor,18055
1600,3,4,Semi-Furnished,Hauz Khas,2,27500000,Ready_to_move,Resale,Builder_Floor,18055
2800,4,5,Semi-Furnished,Hauz Khas,3,70000000,Ready_to_move,New_Property,Builder_Floor,25000
2300,4,4,Semi-Furnished,Hauz Khas,1,102500000,Ready_to_move,New_Property,Builder_Floor,17677
6000,5,5,Semi-Furnished,Hauz Khas,3,180000000,Ready_to_move,New_Property,Apartment,30000
2050,3,3,Semi-Furnished,Hauz Khas,2,71000000,Ready_to_move,New_Property,Builder_Floor,30000
4500,4,5,Semi-Furnished,Hauz Khas,2,85000000,Ready_to_move,New_Property,Builder_Floor,170000
1200,2,2,Furnished,Hauz Khas,1,27500000,Ready_to_move,Resale,Builder_Floor,18055
2250,4,4,Unfurnished,Hauz Khas,3,100000000,Ready_to_move,New_Property,Builder_Floor,18055
2400,4,5,Unfurnished,Hauz Khas,1,65000000,Ready_to_move,Resale,Builder_Floor,25000
2100,4,5,Semi-Furnished,Hauz Khas,1,56000000,Ready_to_move,New_Property,Builder_Floor,17677
5400,4,4,Unfurnished,Hauz Khas,2,110000000,Ready_to_move,Resale,Builder_Floor,17677
2700,4,4,Semi-Furnished,Hauz Khas,2,100000000,Ready_to_move,New_Property,Builder_Floor,37037
6500,4,5,Unfurnished,Hauz Khas,3,190000000,Ready_to_move,New_Property,Builder_Floor,170000
4350,4,6,Semi-Furnished,Hauz Khas,2,135000000,Ready_to_move,New_Property,Apartment,170000
1100,3,3,Unfurnished,Hauz Khas,2,18500000,Ready_to_move,Resale,Apartment,30000
3600,4,4,Semi-Furnished,Hauz Khas,2,65000000,Almost_ready,New_Property,Builder_Floor,18055
1250,3,3,Semi-Furnished,Hauz Khas,1,24000000,Ready_to_move,Resale,Builder_Floor,17677
1450,3,3,Semi-Furnished,Hauz Khas,1,45000000,Ready_to_move,New_Property,Builder_Floor,37037
2000,3,3,Unfurnished,Hauz Khas,2,37500000,Ready_to_move,Resale,Apartment,30000
1980,3,4,Unfurnished,Hauz Khas,1,35000000,Almost_ready,New_Property,Apartment,17677
1700,3,3,Semi-Furnished,Hauz Khas,1,36500000,Ready_to_move,Resale,Apartment,25000
530,4,1,Semi-Furnished,Karol Bagh,1,6800000,Ready_to_move,Resale,Apartment,14776
720,2,1,Semi-Furnished,Karol Bagh,1,7000000,Ready_to_move,Resale,Builder_Floor,9722
535,2,1,Furnished,Karol Bagh,1,3900000,Ready_to_move,New_Property,Apartment,7290
1280,3,3,Furnished,Karol Bagh,2,15000000,Ready_to_move,Resale,Builder_Floor,14092
675,2,2,Semi-Furnished,Karol Bagh,1,10000000,Ready_to_move,Resale,Builder_Floor,14815
1206,3,3,Semi-Furnished,Karol Bagh,1,20000000,Ready_to_move,Resale,Builder_Floor,16584
345,1,1,Semi-Furnished,Karol Bagh,1,5500000,Ready_to_move,Resale,Builder_Floor,125984
468,2,2,Unfurnished,Karol Bagh,1,4100000,Ready_to_move,Resale,Builder_Floor,8761
1200,3,2,Semi-Furnished,Karol Bagh,1,14500000,Ready_to_move,Resale,Builder_Floor,7290
576,2,2,Unfurnished,Karol Bagh,1,5000000,Ready_to_move,Resale,Apartment,14815
1135,3,3,Furnished,Karol Bagh,2,25000000,Almost_ready,Resale,Apartment,22222
1135,3,3,Furnished,Karol Bagh,2,25000000,Almost_ready,Resale,Apartment,22222
1775,3,3,Semi-Furnished,Karol Bagh,1,25500000,Almost_ready,New_Property,Apartment,14366
1135,3,3,Furnished,Karol Bagh,2,25000000,Almost_ready,Resale,Apartment,14366
1252,2,2,Semi-Furnished,Karol Bagh,1,18500000,Almost_ready,New_Property,Apartment,14776
2000,4,4,Semi-Furnished,Karol Bagh,1,39700000,Almost_ready,New_Property,Apartment,14776
1017,3,3,Semi-Furnished,Karol Bagh,1,22000000,Ready_to_move,New_Property,Apartment,14776
1775,3,3,Semi-Furnished,Karol Bagh,1,25500000,Almost_ready,New_Property,Apartment,14366
987,2,2,Semi-Furnished,Karol Bagh,1,17000000,Ready_to_move,New_Property,Apartment,14366
1912,3,3,Semi-Furnished,Karol Bagh,1,27500000,Almost_ready,New_Property,Apartment,14382
5236,5,7,Unfurnished,Karol Bagh,3,73700000,Almost_ready,New_Property,Apartment,14092
2805,4,4,Unfurnished,Karol Bagh,2,52300000,Almost_ready,Resale,Apartment,14092
1775,3,3,Semi-Furnished,Karol Bagh,1,25500000,Almost_ready,New_Property,Apartment,14366
1501,3,2,Semi-Furnished,Karol Bagh,1,20000000,Almost_ready,Resale,Apartment,13324
1135,3,3,Furnished,Karol Bagh,2,24500000,Almost_ready,Resale,Apartment,13324
1200,3,2,Semi-Furnished,Karol Bagh,1,20900000,Almost_ready,Resale,Apartment,13324
2200,3,3,Semi-Furnished,Karol Bagh,1,43100000,Ready_to_move,New_Property,Apartment,13324
1332,3,2,Semi-Furnished,Karol Bagh ,1,6540000,Ready_to_move,Resale,Builder_Floor,14776
