Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
750,2,2,Semi-Furnished,Rohini,1,5000000,Ready_to_move,New_Property,Apartment,6667
950,2,2,Furnished,Rohini,1,15500000,Ready_to_move,Resale,Apartment,6667
600,2,2,Semi-Furnished,Rohini,1,4200000,Ready_to_move,Resale,Builder_Floor,6667
650,2,2,Semi-Furnished,Rohini,1,6200000,Ready_to_move,New_Property,Builder_Floor,6667
1300,4,3,Semi-Furnished,Rohini,1,15500000,Ready_to_move,New_Property,Builder_Floor,6667
1350,4,3,Semi-Furnished,Rohini,1,10000000,Ready_to_move,Resale,Builder_Floor,6667
650,2,2,Semi-Furnished,Rohini,1,4000000,Ready_to_move,New_Property,Apartment,6154
985,3,3,Unfurnished,Rohini,1,6800000,Almost_ready,New_Property,Builder_Floor,6154
1300,4,4,Semi-Furnished,Rohini,1,15000000,Ready_to_move,New_Property,Builder_Floor,6154
1100,3,2,Semi-Furnished,Rohini,1,6200000,Ready_to_move,New_Property,Builder_Floor,6154
870,3,2,Semi-Furnished,Rohini,1,7700000,Ready_to_move,New_Property,Builder_Floor,6154
630,2,2,Semi-Furnished,Rohini,1,5500000,Ready_to_move,New_Property,Builder_Floor,6154
660,2,2,Semi-Furnished,Rohini,1,5000000,Ready_to_move,Resale,Builder_Floor,6154
344.4448,2,2,Semi-Furnished,Rohini,1,3310000,Ready_to_move,Resale,Builder_Floor,6154
660,2,2,Semi-Furnished,Rohini,1,4700000,Ready_to_move,New_Property,Builder_Floor,6154
550,2,2,Semi-Furnished,Rohini,1,4500000,Ready_to_move,New_Property,Builder_Floor,6154
1100,4,3,Semi-Furnished,Rohini,1,17000000,Ready_to_move,New_Property,Builder_Floor,6154
1150,3,3,Semi-Furnished,Rohini,1,25000000,Ready_to_move,Resale,Apartment,6154
650,2,2,Semi-Furnished,Rohini,1,6000000,Ready_to_move,Resale,Builder_Floor,6154
850,2,2,Semi-Furnished,Rohini,1,11000000,Ready_to_move,Resale,Apartment,6154
900,3,2,Semi-Furnished,Rohini,5,4500000,Ready_to_move,Resale,Builder_Floor,6154
430.556,1,1,Furnished,Rohini,2,5300000,Ready_to_move,Resale,Apartment,6154
900,2,2,Semi-Furnished,Rohini,1,10500000,Ready_to_move,Resale,Apartment,6154
914.9315,2,2,Semi-Furnished,Rohini,1,12000000,Ready_to_move,Resale,Builder_Floor,6154
1100,3,3,Furnished,Rohini,1,7000000,Ready_to_move,New_Property,Builder_Floor,6364
800,3,2,Semi-Furnished,Rohini,1,7000000,Ready_to_move,Resale,Builder_Floor,8750
500,1,1,Semi-Furnished,Rohini,1,3400000,Ready_to_move,Resale,Apartment,8750
28,2,2,Furnished,Rohini,1,5000000,Ready_to_move,New_Property,Apartment,8750
2160,4,4,Furnished,Rohini,1,21000000,Ready_to_move,New_Property,Builder_Floor,9722
1000,2,2,Semi-Furnished,Rohini ,1,7600000,Ready_to_move,Resale,Apartment,5255
1360,4,3,Semi-Furnished,Rohini ,1,13500000,Ready_to_move,New_Property,Builder_Floor,5255
1550,4,3,Semi-Furnished,Rohini ,1,12500000,Ready_to_move,New_Property,Builder_Floor,5255
850,3,2,Semi-Furnished,Rohini ,1,6500000,Ready_to_move,New_Property,Builder_Floor,5255
2170,4,4,Unfurnished,Rohini ,2,22000000,Ready_to_move,New_Property,Builder_Floor,5255
720,3,2,Semi-Furnished,Rohini ,1,6000000,Ready_to_move,New_Property,Builder_Floor,5255
850,3,2,Semi-Furnished,Rohini ,1,7300000,Ready_to_move,New_Property,Builder_Floor,5255
950,3,2,Semi-Furnished,Rohini ,1,7600000,Ready_to_move,New_Property,Builder_Floor,5255
2300,4,4,Semi-Furnished,Rohini ,1,20000000,Ready_to_move,New_Property,Builder_Floor,5255
1300,4,4,Semi-Furnished,Rohini ,1,15000000,Ready_to_move,New_Property,Builder_Floor,5255
1100,3,2,Semi-Furnished,Rohini ,1,6200000,Ready_to_move,New_Property,Builder_Floor,5255
1030,3,2,Furnished,Rohini ,1,6200000,Ready_to_move,New_Property,Builder_Floor,5255
750,2,2,Semi-Furnished,Rohini ,1,5000000,Ready_to_move,New_Property,Apartment,6667
720,2,2,Semi-Furnished,Rohini ,1,4700000,Ready_to_move,New_Property,Apartment,6528
800,2,2,Semi-Furnished,Rohini ,1,5500000,Ready_to_move,New_Property,Apartment,6875
350,1,1,Semi-Furnished,Rohini ,1,2000000,Ready_to_move,New_Property,Apartment,5714
980,3,2,Semi-Furnished,Rohini ,1,7300000,Ready_to_move,New_Property,Apartment,7449
1600,4,3,Semi-Furnished,Rohini ,1,13000000,Ready_to_move,New_Property,Apartment,8125
1450,3,3,Semi-Furnished,Rohini ,1,11500000,Ready_to_move,New_Property,Apartment,7931
445,2,2,Semi-Furnished,Rohini ,1,2800000,Ready_to_move,New_Property,Apartment,7931
380,1,1,Semi-Furnished,Rohini ,1,2200000,Ready_to_move,New_Property,Apartment,5789
680,2,2,Semi-Furnished,Rohini ,1,4400000,Ready_to_move,New_Property,Apartment,6471
1600,3,3,Semi-Furnished,Rohini ,1,13500000,Ready_to_move,New_Property,Apartment,8438
630,2,2,Semi-Furnished,Rohini ,1,4100000,Ready_to_move,New_Property,Apartment,6508
1500,3,2,Semi-Furnished,Rohini ,1,12000000,Ready_to_move,New_Property,Apartment,8000
550,2,2,Semi-Furnished,Rohini ,1,3500000,Ready_to_move,New_Property,Apartment,6364
2500,4,3,Semi-Furnished,Rohini ,1,15000000,Ready_to_move,New_Property,Apartment,6000
2800,5,4,Semi-Furnished,Rohini ,1,17500000,Ready_to_move,New_Property,Apartment,6250
300,1,1,Semi-Furnished,Rohini ,1,1900000,Ready_to_move,New_Property,Apartment,6333
800,3,2,Semi-Furnished,Rohini ,1,5500000,Ready_to_move,New_Property,Apartment,6875
1295,3,2,Semi-Furnished,Rohini ,1,10000000,Ready_to_move,New_Property,Apartment,6875
700,3,2,Semi-Furnished,Rohini ,1,4700000,Ready_to_move,New_Property,Apartment,6714
350,1,1,Semi-Furnished,Rohini ,1,2400000,Ready_to_move,New_Property,Builder_Floor,6714
450,2,2,Semi-Furnished,Rohini ,1,3800000,Ready_to_move,New_Property,Builder_Floor,6714
2200,4,4,Semi-Furnished,Rohini ,1,23000000,Ready_to_move,New_Property,Builder_Floor,6714
2300,4,4,Semi-Furnished,Rohini ,1,24500000,Ready_to_move,New_Property,Builder_Floor,6714
1150,3,2,Semi-Furnished,Rohini ,1,10000000,Ready_to_move,New_Property,Builder_Floor,6714
800,3,2,Semi-Furnished,Rohini ,1,5500000,Ready_to_move,New_Property,Builder_Floor,6714
850,3,2,Semi-Furnished,Rohini ,1,7000000,Ready_to_move,New_Property,Builder_Floor,6714
720,3,2,Semi-Furnished,Rohini ,1,6500000,Ready_to_move,New_Property,Builder_Floor,6714
1550,4,3,Semi-Furnished,Rohini ,1,13000000,Ready_to_move,New_Property,Builder_Floor,30556
1550,4,3,Semi-Furnished,Rohini ,1,13000000,Ready_to_move,New_Property,Builder_Floor,30556
3000,4,5,Semi-Furnished,Saket,3,75000000,Ready_to_move,New_Property,Builder_Floor,28846
900,3,2,Semi-Furnished,Saket,1,24000000,Ready_to_move,Resale,Apartment,28846
990,3,3,Furnished,Saket,1,28000000,Ready_to_move,Resale,Apartment,6944
1800,4,4,Semi-Furnished,Saket,1,12500000,Ready_to_move,Resale,Builder_Floor,6944
1450,3,3,Semi-Furnished,Saket,1,34000000,Almost_ready,New_Property,Builder_Floor,28846
1500,3,2,Semi-Furnished,Saket,2,21500000,Ready_to_move,Resale,Apartment,28846
1700,3,3,Semi-Furnished,Saket,2,29000000,Ready_to_move,New_Property,Builder_Floor,18000
1350,3,2,Unfurnished,Saket,1,19000000,Ready_to_move,Resale,Builder_Floor,14074
1700,4,3,Semi-Furnished,Saket,2,29500000,Ready_to_move,Resale,Builder_Floor,21071
2100,4,3,Furnished,Saket,1,25500000,Ready_to_move,Resale,Apartment,14074
2600,4,4,Semi-Furnished,Saket,3,75000000,Ready_to_move,New_Property,Builder_Floor,28846
3000,4,5,Semi-Furnished,Saket,4,75000000,Ready_to_move,New_Property,Builder_Floor,28846
2050,4,4,Semi-Furnished,Saket,1,47500000,Ready_to_move,New_Property,Builder_Floor,28846
1500,3,2,Semi-Furnished,Saket,1,28500000,Ready_to_move,New_Property,Builder_Floor,28846
1674,3,3,Unfurnished,Saket,1,45000000,Ready_to_move,Resale,Builder_Floor,6944
2025,4,3,Furnished,Saket,2,30500000,Ready_to_move,Resale,Builder_Floor,6944
1300,3,3,Semi-Furnished,Saket,3,22500000,Ready_to_move,Resale,Builder_Floor,6944
2100,3,4,Semi-Furnished,Saket,2,25000000,Ready_to_move,Resale,Builder_Floor,14705
2250,4,4,Semi-Furnished,Saket,2,33700000,Ready_to_move,Resale,Builder_Floor,14705
1500,3,3,Semi-Furnished,Saket,1,27000000,Ready_to_move,Resale,Builder_Floor,18000
2700,4,4,Semi-Furnished,Saket,2,43500000,Ready_to_move,New_Property,Builder_Floor,18000
1700,3,3,Semi-Furnished,Saket,2,30000000,Ready_to_move,Resale,Builder_Floor,17647
2050,4,4,Semi-Furnished,Saket,2,52100000,Ready_to_move,New_Property,Apartment,17647
1800,3,3,Unfurnished,Saket,1,32500000,Ready_to_move,New_Property,Builder_Floor,18055
1500,3,2,Semi-Furnished,Saket,1,20500000,Ready_to_move,Resale,Apartment,18055
2000,4,3,Semi-Furnished,Saket,1,25000000,Ready_to_move,Resale,Apartment,12500
1500,3,3,Semi-Furnished,Saket,2,30000000,Ready_to_move,Resale,Builder_Floor,12500
24300,4,5,Semi-Furnished,Saket,2,51000000,Ready_to_move,Resale,Builder_Floor,12500
2475,4,4,Semi-Furnished,Saket,1,31000000,Ready_to_move,Resale,Builder_Floor,12500
1800,3,3,Semi-Furnished,Saket,2,23000000,Ready_to_move,Resale,Apartment,28846
850,3,2,Semi-Furnished,Shahdara,1,4500000,Ready_to_move,Resale,Builder_Floor,6526
1050,3,2,Semi-Furnished,Shahdara,1,9000000,Ready_to_move,Resale,Apartment,3901
850,2,2,Furnished,Shahdara,1,4500000,Ready_to_move,Resale,Builder_Floor,3901
850,2,2,Furnished,Shahdara,1,4500000,Ready_to_move,Resale,Builder_Floor,12500
1350,4,3,Semi-Furnished,Shahdara,1,11300000,Ready_to_move,New_Property,Builder_Floor,6526
1300,4,3,Furnished,Shahdara,1,11500000,Ready_to_move,New_Property,Builder_Floor,3901
360,2,1,Unfurnished,Shahdara,1,1550000,Ready_to_move,New_Property,Builder_Floor,6526
1425,3,3,Semi-Furnished,Shahdara,1,9300000,Ready_to_move,Resale,Builder_Floor,6526
1053,3,2,Furnished,Shahdara,4,7000000,Ready_to_move,Resale,Builder_Floor,41304
445,2,1,Unfurnished,Shahdara,1,2000000,Ready_to_move,Resale,Builder_Floor,6526
900,3,2,Semi-Furnished,Shahdara,1,6000000,Almost_ready,New_Property,Builder_Floor,3901
800,3,2,Semi-Furnished,Shahdara,2,3800000,Ready_to_move,Resale,Builder_Floor,6526
558,2,1,Unfurnished,Shahdara,1,2900000,Ready_to_move,New_Property,Builder_Floor,6526
1150,2,2,Semi-Furnished,Shahdara,1,7300000,Ready_to_move,Resale,Apartment,6347
750,2,2,Unfurnished,Shahdara,1,4500000,Ready_to_move,Resale,Builder_Floor,6526
440,2,2,Unfurnished,Shahdara,1,2700000,Ready_to_move,Resale,Apartment,6526
950,3,2,Semi-Furnished,Shahdara,1,5500000,Ready_to_move,Resale,Apartment,6526
990,2,2,Semi-Furnished,Shahdara,2,4100000,Ready_to_move,Resale,Builder_Floor,6526
675,2,1,Unfurnished,Shahdara,1,3300000,Ready_to_move,Resale,Apartment,6526
1650,4,3,Furnished,Shahdara,1,14000000,Almost_ready,New_Property,Apartment,3901
495.1394,1,1,Furnished,Shahdara,1,1900000,Ready_to_move,Resale,Builder_Floor,41304
1650,4,3,Furnished,Shahdara,1,14000000,Almost_ready,New_Property,Apartment,6667
700,2,2,Semi-Furnished,Shahdara,1,2500000,Ready_to_move,Resale,Apartment,6667
852,2,2,Unfurnished,Shahdara,1,2670000,Ready_to_move,Resale,Apartment,6667
900,4,1,Furnished,Shahdara,1,15000000,Ready_to_move,Resale,Apartment,6667
50,2,1,Semi-Furnished,Shahdara,1,1950000,Ready_to_move,New_Property,Apartment,6667
846,2,1,Unfurnished,Shahdara,1,3300000,Ready_to_move,New_Property,Apartment,3901
1017,2,2,Furnished,Shahdara,1,6500000,Ready_to_move,New_Property,Builder_Floor,6526
810,3,2,Semi-Furnished,Shahdara,1,6000000,Ready_to_move,Resale,Builder_Floor,6526
540,2,1,Furnished,Shahdara,1,2700000,Ready_to_move,New_Property,Apartment,5000
747,2,2,Furnished,Shahdara,1,6500000,Ready_to_move,Resale,Builder_Floor,8701
720,2,1,Unfurnished,Shahdara,1,4000000,Ready_to_move,Resale,Builder_Floor,5556
376.7365,1,1,Semi-Furnished,Shahdara,1,3000000,Ready_to_move,New_Property,Apartment,85715
1125,2,2,Unfurnished,Shahdara,1,5000000,Ready_to_move,Resale,Builder_Floor,4444
713,2,2,Semi-Furnished,Shahdara,1,6000000,Ready_to_move,New_Property,Builder_Floor,4444
360,1,1,Unfurnished,Shahdara,1,2500000,Ready_to_move,Resale,Builder_Floor,6944
900,2,2,Semi-Furnished,Shahdara,1,6500000,Ready_to_move,Resale,Apartment,7222
713,3,1,Unfurnished,Shahdara,1,8000000,Ready_to_move,Resale,Apartment,11220
504,2,1,Furnished,Shahdara,1,2700000,Ready_to_move,Resale,Builder_Floor,5357
70,1,2,Unfurnished,Shahdara,1,4500000,Ready_to_move,Resale,Apartment,5357
850,3,2,Furnished,Shahdara,1,5700000,Ready_to_move,Resale,Builder_Floor,6706
2430,4,3,Furnished,Shahdara,1,25000000,Ready_to_move,Resale,Builder_Floor,10288
2475,3,3,Furnished,Shahdara,1,70000000,Ready_to_move,Resale,Builder_Floor,28283
2970,7,4,Furnished,Shahdara,1,26500000,Ready_to_move,Resale,Builder_Floor,8923
2250,3,2,Furnished,Shahdara,1,18500000,Ready_to_move,Resale,Builder_Floor,8222
1500,5,3,Furnished,Shahdara,1,30000000,Ready_to_move,Resale,Builder_Floor,20000
1512,2,2,Furnished,Shahdara,1,22000000,Ready_to_move,Resale,Builder_Floor,14550
2160,3,3,Furnished,Shahdara,1,65000000,Ready_to_move,Resale,Builder_Floor,30093
630,3,2,Furnished,Shahdara,1,22500000,Ready_to_move,Resale,Builder_Floor,35714
324,6,3,Furnished,Shahdara,1,8700000,Ready_to_move,Resale,Builder_Floor,35714
720,6,5,Furnished,Shahdara,1,22000000,Ready_to_move,Resale,Builder_Floor,35714
675,4,2,Furnished,Shahdara,2,18500000,Ready_to_move,Resale,Builder_Floor,35714
700,2,1,Furnished,Shahdara,2,16000000,Ready_to_move,New_Property,Builder_Floor,22857
675,4,3,Furnished,Shahdara,2,16000000,Ready_to_move,Resale,Builder_Floor,22857
720,4,2,Furnished,Shahdara,2,9000000,Ready_to_move,Resale,Builder_Floor,12500
805,2,2,Unfurnished,Uttam Nagar,1,4000000,Ready_to_move,Resale,Builder_Floor,6111
540,2,2,Semi-Furnished,Uttam Nagar,1,3300000,Ready_to_move,New_Property,Apartment,6111
540,2,2,Semi-Furnished,Uttam Nagar,1,3300000,Ready_to_move,New_Property,Apartment,6111
540,2,2,Semi-Furnished,Uttam Nagar,1,3300000,Ready_to_move,New_Property,Apartment,6111
810,3,2,Semi-Furnished,Uttam Nagar,1,5400000,Ready_to_move,Resale,Builder_Floor,5794
1000,3,2,Semi-Furnished,Uttam Nagar,1,5510000,Almost_ready,New_Property,Builder_Floor,22222
1000,3,2,Semi-Furnished,Uttam Nagar,1,5510000,Almost_ready,New_Property,Builder_Floor,6111
1000,3,2,Semi-Furnished,Uttam Nagar,1,5510000,Almost_ready,New_Property,Builder_Floor,22222
780,3,2,Semi-Furnished,Uttam Nagar,1,4000000,Ready_to_move,New_Property,Builder_Floor,6111
360,1,1,Semi-Furnished,Uttam Nagar,1,1700000,Ready_to_move,New_Property,Builder_Floor,6111
1000,3,2,Semi-Furnished,Uttam Nagar,1,6200000,Ready_to_move,New_Property,Builder_Floor,6111
620,2,2,Semi-Furnished,Uttam Nagar,1,3100000,Ready_to_move,New_Property,Builder_Floor,6111
540,2,2,Semi-Furnished,Uttam Nagar,1,2500000,Ready_to_move,New_Property,Builder_Floor,6584
360,1,1,Semi-Furnished,Uttam Nagar,1,2000000,Ready_to_move,New_Property,Builder_Floor,6584
675,2,1,Unfurnished,Uttam Nagar,1,2900000,Ready_to_move,Resale,Builder_Floor,5794
585,2,2,Unfurnished,Uttam Nagar,1,3200000,Ready_to_move,Resale,Builder_Floor,5794
550,2,2,Semi-Furnished,Uttam Nagar,1,2600000,Ready_to_move,New_Property,Builder_Floor,5794
950,3,2,Furnished,Uttam Nagar,1,4370000,Ready_to_move,New_Property,Apartment,4600
950,3,2,Furnished,Uttam Nagar,1,4370000,Ready_to_move,New_Property,Apartment,4600
950,3,2,Furnished,Uttam Nagar,1,4370000,Ready_to_move,New_Property,Apartment,4600
540,2,2,Semi-Furnished,Uttam Nagar,1,2600000,Ready_to_move,New_Property,Builder_Floor,6111
450,2,1,Semi-Furnished,Uttam Nagar,1,1850000,Ready_to_move,New_Property,Builder_Floor,6111
495,2,2,Semi-Furnished,Uttam Nagar,1,2150000,Ready_to_move,New_Property,Builder_Floor,6111
550,2,2,Semi-Furnished,Uttam Nagar,1,1900000,Ready_to_move,New_Property,Builder_Floor,6584
550,2,1,Semi-Furnished,Uttam Nagar,1,2000000,Ready_to_move,New_Property,Builder_Floor,5794
